time,ehux,bacteria,sytox+,dmsp,d7_present,exp
9,1542296.0834907903,10693552.604817385,221210.43019480523,1.9054272663165388,1,4
9,1343811.7366525067,7752995.7141607618,297998.12244690838,2.1966114447586649,1,4
10,1170708.050362837,20128152.851400942,440238.48788532289,0.97715017538604343,1,4
10,1101462.5267930368,23997209.221198291,483730.96446700511,0.34534507148952004,1,4
11,948776.53237985098,21315904.139433552,939480.68397720065,0.72461180533534864,1,4
11,892730.3886361178,29358769.30235263,788133.01566381112,0.26421451069845919,1,4
12,607449.29521620343,40487151.098420829,1212364.7055841426,0.25538608788351908,1,4
12,793428.6228854626,29643333.526648499,846678.49898580112,0.26323871873265059,1,4
13,285586.72052836581,33832491.729061469,1116303.7974683545,0.27167990700357159,1,4
13,588562.66046342452,39253575.165678404,721128.19209757342,0.27362032468135949,1,4
14,201702.60747709879,37422653.458443485,1007230.9331709545,0.27995715887088929,1,4
14,552365.71215407294,47241429.44374983,793647.97728885734,0.33203787402735546,1,4
0,403897.826317192,83217.753120665744,33762.546892426202,,0,5
0,346808.25395876501,21145.374449339208,30813.319469452999,,0,5
0,488368.31019234698,32041.772978104782,46785.705214497997,,0,5
1,689166.88548443699,85260.0728263122,51064.153623703103,,0,5
1,705428.13655842002,74430.693800395806,54142.5525434054,,0,5
1,727936.91738301795,24990.331121887401,62406.339691651199,,0,5
2,1327860.97727546,49072.586534248599,117513.09496697799,,0,5
2,1292733.6945502099,38766.519823788498,127319.14463373899,,0,5
2,1272671.4592599201,48953.901742525799,119608.883498825,,0,5
3,2374570.5342855202,62710.486586923696,295997.16434159601,,0,5
3,2184343.2384613301,45133.665085059598,248011.75219087201,,0,5
3,2129243.69750772,63154.201508683698,280758.61545083899,,0,5
4,3651775.6304691001,118380.966197592,361261.71776032401,,0,5
4,3687413.1205153698,83570.309326214396,380081.558217877,,0,5
4,3582748.32040255,70472.1634954193,339857.69630061003,,0,5
5,4962709.1882988,269136.66550157301,746060.34460882598,,0,5
5,5085946.99066428,126186.651088068,731696.20253164601,,0,5
5,4995158.0534229605,132697.00849726499,678424.81374486804,,0,5
6,4887506.55269974,813795.10215910699,1398250.95057034,,0,5
6,5657516.0200207597,765505.84278133803,1532547.52851711,,0,5
6,5482554.9402401,542043.08547602501,1534026.1056900299,,0,5
7,5294689.1033348599,1667053.3642691399,1874411.54138193,,0,5
7,5747188.4459460704,1297090.5297322399,1852410.09559456,,0,5
7,5511392.9511537496,949527.27272727306,1893588.9966817801,,0,5
8,5383494.91499444,901385.39779037796,1985700.15973226,,0,5
8,5637538.6530607902,975069.89748369099,2236069.2294047601,,0,5
8,5507045.1151797604,998203.00272448,2257169.6630068198,,0,5
9,5258715.0424730899,1429316.64058425,2640930.7512927102,,0,5
9,5121901.9910626402,1307873.39785509,2772338.7526314501,,0,5
9,5230025.8501365501,1043175.89104607,2630407.78569075,,0,5
10,4844559.6378862103,661615.11926172697,2748642.0630488801,,0,5
10,5020989.3548948299,614358.434263648,3046357.6158940401,,0,5
10,4896567.5598686403,639804.21291845106,3168823.2607702799,,0,5
11,4689203.5076996498,1181547.0157250001,3598540.51588709,,0,5
11,4875121.4851566702,1172627.0345954101,3925698.6356950901,,0,5
11,4718192.1440824298,1050952.6433315,4015261.75687666,,0,5
0,477278.94278238498,35409.719968131256,62921.633274156702,,1,5
0,486417.46321109001,28337.810313782215,62617.296474765397,,1,5
0,471685.317253544,22335.970218706378,53673.102715287103,,1,5
1,717460.53994201904,176252.86410904201,59156.000506906603,,1,5
1,704064.98778307403,253896.355454898,52457.934675024699,,1,5
1,649737.71137236897,244641.19291705501,61608.366756358802,,1,5
